run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_layout	library_strategy	library_source	read_count	base_count	center_name	experiment_title	fastq_bytes	fastq_md5	fastq_ftp	sample_alias
SRR5935744	PRJNA398089	SAMN07509919	SRX3095882	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	15328347	2853526686	SUB2954905	Illumina HiSeq 2000 sequencing: PSM7J18E stool WGS	745495793;755587542	dbab59bca1bdd65f68abfa7eae21e65c;f783632ed8e6cf3e85e443990823bd88	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5935744/SRR5935744_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5935744/SRR5935744_2.fastq.gz	P6010C15
SRR5935745	PRJNA398089	SAMN07509918	SRX3095881	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	10492437	1984140901	SUB2954905	Illumina HiSeq 2000 sequencing: HSM7J4I5 stool WGS	520125014;524678126	8c03236b7d33006c9f1ea5ac96496f39;770d2ded687d4ceb9865e2503a4498f5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935745/SRR5935745_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935745/SRR5935745_2.fastq.gz	H4024C16
SRR5935747	PRJNA398089	SAMN07509915	SRX3095878	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	3036382	569204188	SUB2954905	Illumina HiSeq 2000 sequencing: PSM7J17X stool WGS	145394201;147979881	6a154971cc31d3679e1671e9246fb6c6;7935a751a60b635e0d0aa4bd2cb1cca3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5935747/SRR5935747_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5935747/SRR5935747_2.fastq.gz	P6018C9
SRR5935749	PRJNA398089	SAMN07509617	SRX3095876	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	18879904	3539135454	SUB2954905	Illumina HiSeq 2000 sequencing: MSM6J2HT stool WGS	897225885;893278004	63c299689793b6cc0ce2f38935afad7c;71dcc8b31d68fbf1d4670b211d2212df	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5935749/SRR5935749_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5935749/SRR5935749_2.fastq.gz	M2039C5
SRR5935751	PRJNA398089	SAMN07509663	SRX3095875	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	18645445	3449573600	SUB2954905	Illumina HiSeq 2000 sequencing: MSM6J2OJ stool WGS	880918362;893794835	7a41b3c4a92a0c364c89f986f44bdaf7;f656af54e39c78d27f5e1d03a9880309	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5935751/SRR5935751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5935751/SRR5935751_2.fastq.gz	M2026C15
SRR5935755	PRJNA398089	SAMN07509654	SRX3095870	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	6071697	1090388750	SUB2954905	Illumina HiSeq 2000 sequencing: CSM67UAW stool WGS	281326213;280575300	7d50a162f7f3625336743ec906b5a3cb;99ac6e44697d3f23861d5951f14f63f0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935755/SRR5935755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935755/SRR5935755_2.fastq.gz	C3016C3
SRR5935762	PRJNA398089	SAMN07509553	SRX3095864	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	18129553	3409028279	SUB2954905	Illumina HiSeq 2000 sequencing: MSM5LLGL stool WGS	865706610;886695734	63a1b98041ab2d78830de26adbfa9037;d80f093b5c51a5902b9d74a4cc4142b0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5935762/SRR5935762_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5935762/SRR5935762_2.fastq.gz	M2014C13
SRR5935763	PRJNA398089	SAMN07509551	SRX3095862	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	5174437	978777662	SUB2954905	Illumina HiSeq 2000 sequencing: MSM5LLDS stool WGS	248782436;250936354	84b96c0b4fa817dd32ba822c9d8f2b9d;8ed32b9983ce08671bf0681dc9d83866	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5935763/SRR5935763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5935763/SRR5935763_2.fastq.gz	M2008C6
SRR5935767	PRJNA398089	SAMN07509546	SRX3095859	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	5166420	956191777	SUB2954905	Illumina HiSeq 2000 sequencing: CSM67U9H stool WGS	249961146;245651270	6248111ed19b8bee0c3f5b747eb6a437;c644fb7ec27cedbcaf09a8eaad6e96d2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5935767/SRR5935767_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5935767/SRR5935767_2.fastq.gz	C3013C2
SRR5935769	PRJNA398089	SAMN07509544	SRX3095857	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	PAIRED	WGS	METAGENOMIC	11374148	2063466726	SUB2954905	Illumina HiSeq 2000 sequencing: HSM6XRSX stool WGS	544844668;538575210	8ab45cdaaa1f70aa675b310060e4e25a;7464db5d3b565aa449bbf4e5c73f3f99	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5935769/SRR5935769_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5935769/SRR5935769_2.fastq.gz	H4008C7
