run_accession	paired_reads_match	num_read_pairs_r12	num_seqs_r12	sum_len_r12	avg_len_r12	min_len_r12	max_len_r12	gc_percent_r12	q20_percent_r12	q30_percent_r12	avg_qual_r12	sum_n_r12	sum_gap_r12	file_r1	file_r2	format_r1	format_r2	type_r1	type_r2	num_seqs_r1	num_seqs_r2	sum_len_r1	sum_len_r2	min_len_r1	min_len_r2	avg_len_r1	avg_len_r2	max_len_r1	max_len_r2	q1_r1	q1_r2	q2_r1	q2_r2	q3_r1	q3_r2	sum_gap_r1	sum_gap_r2	n50_r1	n50_r2	n50_num_r1	n50_num_r2	q20_percent_r1	q20_percent_r2	q30_percent_r1	q30_percent_r2	avg_qual_r1	avg_qual_r2	gc_percent_r1	gc_percent_r2	sum_n_r1	sum_n_r2	q1_mean_r12	q2_mean_r12	q3_mean_r12	n50_mean_r12	n50_num_r12
SRR5935746	TRUE	10285129	20570258	1970572364	95.80000000000001	60	101	45.085042575736644	99	97	31.0056386360496	155508	0	workflow/work/clean/SRR5935746_R1.fastq.gz	workflow/work/clean/SRR5935746_R2.fastq.gz	FASTQ	FASTQ	DNA	DNA	10285129	10285129	988082801	982489563	60	60	96.1	95.5	101	101	100	99	101	101	101	101	0	0	101	101	1	1	99	99	97	97	31.23	30.78	45.1	45.07	21319	134189	99.5	101	101	101	2
SRR5935750	TRUE	5887263	11774526	1103544900	93.75	60	101	50.12017768465968	98	94	29.47512437926178	5309	0	workflow/work/clean/SRR5935750_R1.fastq.gz	workflow/work/clean/SRR5935750_R2.fastq.gz	FASTQ	FASTQ	DNA	DNA	5887263	5887263	553733280	549811620	60	60	94.1	93.4	101	101	91	88	101	101	101	101	0	0	101	101	1	1	98	98	94	94	29.51	29.44	50.17	50.07	4671	638	89.5	101	101	101	2
SRR5935751	TRUE	17220530	34441060	3280162925	95.25	60	101	43.46001842567318	99	96.5009212836585	31.115340874953645	72709	0	workflow/work/clean/SRR5935751_R1.fastq.gz	workflow/work/clean/SRR5935751_R2.fastq.gz	FASTQ	FASTQ	DNA	DNA	17220530	17220530	1643103423	1637059502	60	60	95.4	95.1	101	101	100	99	101	101	101	101	0	0	101	101	1	1	99	99	97	96	31.3	30.93	43.47	43.45	64706	8003	99.5	101	101	101	2
SRR5935754	TRUE	9575237	19150474	1810066748	94.55	60	101	47.365069854109045	99	96.49860291781903	31.129748525207425	23481	0	workflow/work/clean/SRR5935754_R1.fastq.gz	workflow/work/clean/SRR5935754_R2.fastq.gz	FASTQ	FASTQ	DNA	DNA	9575237	9575237	907562186	902504562	60	60	94.8	94.3	101	101	98	92	101	101	101	101	0	0	101	101	1	1	99	99	96	97	31.04	31.22	47.39	47.34	21233	2248	95	101	101	101	2
SRR5935777	TRUE	7263305	14526610	1352864186	93.15	60	101	48.99005954271007	98	95	29.75023817084031	6777	0	workflow/work/clean/SRR5935777_R1.fastq.gz	workflow/work/clean/SRR5935777_R2.fastq.gz	FASTQ	FASTQ	DNA	DNA	7263305	7263305	678445923	674418263	60	60	93.4	92.9	101	101	88	86	101	101	101	101	0	0	101	101	1	1	98	98	95	95	29.83	29.67	49.01	48.97	6005	772	87	101	101	101	2
SRR5935787	TRUE	15261729	30523458	2932058505	96.05	60	101	43.94499007215751	98.4990072157513	95.4990072157513	30.389106494176183	54663	0	workflow/work/clean/SRR5935787_R1.fastq.gz	workflow/work/clean/SRR5935787_R2.fastq.gz	FASTQ	FASTQ	DNA	DNA	15261729	15261729	1468940154	1463118351	60	60	96.2	95.9	101	101	101	100	101	101	101	101	0	0	101	101	1	1	98	99	95	96	29.94	30.84	43.94	43.95	48333	6330	100.5	101	101	101	2
SRR5935790	TRUE	8525551	17051102	1630308414	95.60000000000001	60	101	44.95	99	96.50097104632866	31.130407839458037	35844	0	workflow/work/clean/SRR5935790_R1.fastq.gz	workflow/work/clean/SRR5935790_R2.fastq.gz	FASTQ	FASTQ	DNA	DNA	8525551	8525551	816737312	813571102	60	60	95.8	95.4	101	101	100	100	101	101	101	101	0	0	101	101	1	1	99	99	97	96	31.34	30.92	44.95	44.95	32085	3759	100	101	101	101	2
SRR5935792	TRUE	10480625	20961250	1983655260	94.65	60	101	44.57001344728619	99	97	31.619946210855208	29220	0	workflow/work/clean/SRR5935792_R1.fastq.gz	workflow/work/clean/SRR5935792_R2.fastq.gz	FASTQ	FASTQ	DNA	DNA	10480625	10480625	993161369	990493891	60	60	94.8	94.5	101	101	97	93	101	101	101	101	0	0	101	101	1	1	99	99	97	97	31.58	31.66	44.58	44.56	26275	2945	95	101	101	101	2
SRR5935794	TRUE	12407833	24815666	2363683301	95.25	60	101	45.805025138919824	99	97	31.249899444320693	35110	0	workflow/work/clean/SRR5935794_R1.fastq.gz	workflow/work/clean/SRR5935794_R2.fastq.gz	FASTQ	FASTQ	DNA	DNA	12407833	12407833	1183822332	1179860969	60	60	95.4	95.1	101	101	99	98	101	101	101	101	0	0	101	101	1	1	99	99	97	97	31.19	31.31	45.82	45.79	32145	2965	98.5	101	101	101	2
SRR5935799	TRUE	8296482	16592964	1567128359	94.45	60	101	49.275052116059626	99	97	30.950903345033524	111670	0	workflow/work/clean/SRR5935799_R1.fastq.gz	workflow/work/clean/SRR5935799_R2.fastq.gz	FASTQ	FASTQ	DNA	DNA	8296482	8296482	786286598	780841761	60	60	94.8	94.1	101	101	98	91	101	101	101	101	0	0	101	101	1	1	99	99	97	97	31.21	30.69	49.29	49.26	17299	94371	94.5	101	101	101	2
