run_accession	raw_pair1	raw_pair2	trimmed_pair1	trimmed_pair2	trimmed_orphan1	trimmed_orphan2	final_pair1	final_pair2	final_orphan1	final_orphan2	raw_pairs	trimmed_pairs	clean_pairs	trimmed_singletons	clean_singletons	pairs_removed_by_trim	pairs_removed_after_trim	pairs_removed_total	pct_pairs_removed_by_trim	pct_pairs_removed_after_trim	pct_pairs_retained_final
SRR5935746	11012615	11012615	10323969	10323969	75447	52867	10285129	10285129	90335	67614	11012615	10323969	10285129	128314	157949	688646	38840	727486	6.25324684464135	0.3762119006750214	93.39406671349175
SRR5935750	6552107	6552107	5904262	5904262	106793	45953	5887263	5887263	112352	51707	6552107	5904262	5887263	152746	164059	647845	16999	664844	9.887582727205157	0.28791066521099506	89.85297401278703
SRR5935751	18645445	18645445	17272514	17272514	175238	88844	17220530	17220530	194148	107759	18645445	17272514	17220530	264082	301907	1372931	51984	1424915	7.36335871844303	0.3009637161098842	92.35783860347661
SRR5935754	10479816	10479816	9613330	9613330	91011	45515	9575237	9575237	104000	58849	10479816	9613330	9575237	136526	162849	866486	38093	904579	8.268141349046587	0.39625187109981663	91.36836944465438
SRR5935777	8173049	8173049	7283536	7283536	118394	52499	7263305	7263305	124192	58404	8173049	7283536	7263305	170893	182596	889513	20231	909744	10.8834903595953	0.2777634379784764	88.86897655942109
SRR5935787	16351397	16351397	15323255	15323255	163434	86049	15261729	15261729	184842	107965	16351397	15323255	15261729	249483	292807	1028142	61526	1089668	6.28779302465716	0.401520434137525	93.33593331505558
SRR5935790	9202475	9202475	8559722	8559722	87252	46121	8525551	8525551	99001	58114	9202475	8559722	8525551	133373	157115	642753	34171	676924	6.984566651906145	0.3992068901303103	92.6441093292837
SRR5935792	11437813	11437813	10519694	10519694	79887	56114	10480625	10480625	94044	70446	11437813	10519694	10480625	136001	164490	918119	39069	957188	8.027050276132334	0.37138912975985805	91.63137218627372
SRR5935794	13404063	13404063	12475710	12475710	106853	68068	12407833	12407833	130300	91999	13404063	12475710	12407833	174921	222299	928353	67877	996230	6.92590746551997	0.5440732431260425	92.56770130071754
SRR5935799	9090205	9090205	8344817	8344817	68526	40127	8296482	8296482	77426	49236	9090205	8344817	8296482	108653	126662	745388	48335	793723	8.199903082493739	0.5792218091780802	91.26837073531345
SRR5935800	15080696	15080696	13837384	13837384	187877	146040	13791047	13791047	204004	161929	15080696	13837384	13791047	333917	365933	1243312	46337	1289649	8.244394025315543	0.3348682091932984	91.44834562012257
SRR5935804	13253368	13253368	12130071	12130071	105190	63254	12086402	12086402	119897	77871	13253368	12130071	12086402	168444	197768	1123297	43669	1166966	8.475558816445751	0.3600061368148628	91.19494757860794
SRR5935814	5072545	5072545	4763733	4763733	46759	26144	4672170	4672170	52217	31591	5072545	4763733	4672170	72903	83808	308812	91563	400375	6.087910506461746	1.9220850538852619	92.1070192575916
SRR5935826	8766123	8766123	8081260	8081260	69338	43669	8025101	8025101	79782	54013	8766123	8081260	8025101	113007	133795	684863	56159	741022	7.812609975926644	0.694928761109035	91.54675333668031
SRR5935830	14303962	14303962	13242432	13242432	118705	59861	13197254	13197254	135229	76973	14303962	13242432	13197254	178566	212202	1061530	45178	1106708	7.421230565349656	0.34116089854189924	92.26292687298806
SRR5935831	12793053	12793053	11823032	11823032	126760	43051	11775619	11775619	142408	58894	12793053	11823032	11775619	169811	201302	970021	47413	1017434	7.582404293955477	0.4010223435071477	92.04698049793119
SRR5935832	6882441	6882441	6247683	6247683	57891	24743	6225285	6225285	65067	32082	6882441	6247683	6225285	82634	97149	634758	22398	657156	9.222861481849245	0.3585009034549288	90.45170165643265
SRR5935835	1341509	1341509	1274685	1274685	14542	6384	1099596	1099596	15092	7216	1341509	1274685	1099596	20926	22308	66824	175089	241913	4.981256182403547	13.735864154673507	81.96709824533417
SRR5935837	9337913	9337913	8487302	8487302	93604	28382	8458473	8458473	103835	38729	9337913	8487302	8458473	121986	142564	850611	28829	879440	9.109219586860576	0.339672136092247	90.5820497577992
SRR5935845	12773582	12773582	11541754	11541754	124007	136369	11493561	11493561	140349	152454	12773582	11541754	11493561	260376	292803	1231828	48193	1280021	9.643559653040157	0.41755351916181893	89.97915385050176
