run_accession	paired_reads_match	num_read_pairs_r12	num_seqs_r12	sum_len_r12	avg_len_r12	min_len_r12	max_len_r12	gc_percent_r12	q20_percent_r12	q30_percent_r12	avg_qual_r12	sum_n_r12	sum_gap_r12	file_r1	file_r2	format_r1	format_r2	type_r1	type_r2	num_seqs_r1	num_seqs_r2	sum_len_r1	sum_len_r2	min_len_r1	min_len_r2	avg_len_r1	avg_len_r2	max_len_r1	max_len_r2	q1_r1	q1_r2	q2_r1	q2_r2	q3_r1	q3_r2	sum_gap_r1	sum_gap_r2	n50_r1	n50_r2	n50_num_r1	n50_num_r2	q20_percent_r1	q20_percent_r2	q30_percent_r1	q30_percent_r2	avg_qual_r1	avg_qual_r2	gc_percent_r1	gc_percent_r2	sum_n_r1	sum_n_r2	q1_mean_r12	q2_mean_r12	q3_mean_r12	n50_mean_r12	n50_num_r12
SRR5935746	TRUE	11012615	22025230	2057953866	93.4	50	101	45.055048830088786	99	97	30.87560223776173	158655	0	workflow/work/raw/SRR5935746_R1.fastq.gz	workflow/work/raw/SRR5935746_R2.fastq.gz	FASTQ	FASTQ	DNA	DNA	11012615	11012615	1032326602	1025627264	50	50	93.7	93.1	101	101	99	91	101	101	101	101	0	0	101	101	1	1	99	99	97	97	31.06	30.69	45.07	45.04	22631	136024	95	101	101	101	2
SRR5935750	TRUE	6552107	13104214	1182796919	90.3	50	101	50.14529831528079	98	94	29.270108478283923	5898	0	workflow/work/raw/SRR5935750_R1.fastq.gz	workflow/work/raw/SRR5935750_R2.fastq.gz	FASTQ	FASTQ	DNA	DNA	6552107	6552107	594606154	588190765	50	50	90.8	89.8	101	101	81	78	101	101	101	101	0	0	101	101	1	1	98	98	94	94	29.29	29.25	50.2	50.09	5192	706	79.5	101	101	101	2
SRR5935751	TRUE	18645445	37290890	3449573600	92.5	50	101	43.450028446165064	99	96.50142230825283	30.94048358480596	78473	0	workflow/work/raw/SRR5935751_R1.fastq.gz	workflow/work/raw/SRR5935751_R2.fastq.gz	FASTQ	FASTQ	DNA	DNA	18645445	18645445	1729693157	1719880443	50	50	92.8	92.2	101	101	90	87	101	101	101	101	0	0	101	101	1	1	99	99	97	96	31.11	30.77	43.46	43.44	68771	9702	88.5	101	101	101	2
SRR5935754	TRUE	10479816	20959632	1916830360	91.44999999999999	50	101	47.385092273475884	99	96	30.994575542010924	25804	0	workflow/work/raw/SRR5935754_R1.fastq.gz	workflow/work/raw/SRR5935754_R2.fastq.gz	FASTQ	FASTQ	DNA	DNA	10479816	10479816	961952632	954877728	50	50	91.8	91.1	101	101	86	83	101	101	101	101	0	0	101	101	1	1	99	99	96	96	30.88	31.11	47.41	47.36	23286	2518	84.5	101	101	101	2
SRR5935763	TRUE	5174437	10348874	978777662	94.55000000000001	50	101	45.16506902232511	99	96.50230074417044	30.751748565569528	74387	0	workflow/work/raw/SRR5935763_R1.fastq.gz	workflow/work/raw/SRR5935763_R2.fastq.gz	FASTQ	FASTQ	DNA	DNA	5174437	5174437	491640748	487136914	50	50	95	94.1	101	101	100	96	101	101	101	101	0	0	101	101	1	1	99	99	97	96	31.13	30.37	45.18	45.15	10710	63677	98	101	101	101	2
SRR5935777	TRUE	8173049	16346098	1459565869	89.30000000000001	50	101	49.0151140855158	98	94.49771828968412	29.545296622341063	7550	0	workflow/work/raw/SRR5935777_R1.fastq.gz	workflow/work/raw/SRR5935777_R2.fastq.gz	FASTQ	FASTQ	DNA	DNA	8173049	8173049	733113241	726452628	50	50	89.7	88.9	101	101	78	76	101	101	101	101	0	0	101	101	1	1	98	98	94	95	29.61	29.48	49.04	48.99	6683	867	77	101	101	101	2
SRR5935787	TRUE	16351397	32702794	3065557655	93.75	50	101	43.93	98.49848995059922	95.49848995059922	30.228640955539294	58825	0	workflow/work/raw/SRR5935787_R1.fastq.gz	workflow/work/raw/SRR5935787_R2.fastq.gz	FASTQ	FASTQ	DNA	DNA	16351397	16351397	1537407971	1528149684	50	50	94	93.5	101	101	100	94	101	101	101	101	0	0	101	101	1	1	98	99	95	96	29.78	30.68	43.93	43.93	51130	7695	97	101	101	101	2
SRR5935790	TRUE	9202475	18404950	1711991411	93	50	101	44.97501471118653	99	96.50147111865388	30.960559025088468	38754	0	workflow/work/raw/SRR5935790_R1.fastq.gz	workflow/work/raw/SRR5935790_R2.fastq.gz	FASTQ	FASTQ	DNA	DNA	9202475	9202475	858514248	853477163	50	50	93.3	92.7	101	101	93	90	101	101	101	101	0	0	101	101	1	1	99	99	97	96	31.15	30.77	44.98	44.97	34146	4608	91.5	101	101	101	2
SRR5935792	TRUE	11437813	22875626	2096182336	91.65	50	101	44.58001801453974	99	97	31.474900920031413	31847	0	workflow/work/raw/SRR5935792_R1.fastq.gz	workflow/work/raw/SRR5935792_R2.fastq.gz	FASTQ	FASTQ	DNA	DNA	11437813	11437813	1049979256	1046203080	50	50	91.8	91.5	101	101	86	85	101	101	101	101	0	0	101	101	1	1	99	99	97	97	31.42	31.53	44.59	44.57	28621	3226	85.5	101	101	101	2
SRR5935794	TRUE	13404063	26808126	2484447317	92.69999999999999	50	101	45.83004578735046	99	97	31.10983974427339	37957	0	workflow/work/raw/SRR5935794_R1.fastq.gz	workflow/work/raw/SRR5935794_R2.fastq.gz	FASTQ	FASTQ	DNA	DNA	13404063	13404063	1245067565	1239379752	50	50	92.9	92.5	101	101	91	89	101	101	101	101	0	0	101	101	1	1	99	99	97	97	31.04	31.18	45.85	45.81	34656	3301	90	101	101	101	2
